,Seed query,Entry,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function),Topological domain,Transmembrane,Subcellular location [CC],Intramembrane
5,,A0A0S2A5S1,A0A0S2A5S1_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
6,,A0A0S2A5X5,A0A0S2A5X5_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
7,,A4Z6T7,A4Z6T7_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
8,,A4Z6T8,A4Z6T8_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
9,,A4Z6T9,A4Z6T9_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2 hCG_27151,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
10,,A4Z6U4,A4Z6U4_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
11,,A4Z6U6,A4Z6U6_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
12,,A4Z6U7,A4Z6U7_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
13,,A4Z6U9,A4Z6U9_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
14,,A4Z6V9,A4Z6V9_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
15,,A4Z6Y1,A4Z6Y1_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
16,,A4Z6Y3,A4Z6Y3_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
17,,A4Z6Y5,A4Z6Y5_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
18,,A4Z737,A4Z737_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
19,,A4Z787,A4Z787_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
20,,A4Z7F6,A4Z7F6_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
21,,A4Z7H3,A4Z7H3_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
22,,A4Z7J7,A4Z7J7_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
23,,A4Z7K4,A4Z7K4_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
24,,A4Z7P9,A4Z7P9_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
25,,A4Z7V0,A4Z7V0_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
26,,A4Z867,A4Z867_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
27,,A9X7Q9,A9X7Q9_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
28,,A9X7U6,A9X7U6_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
29,,A9X7X6,A9X7X6_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
30,,A9X816,A9X816_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
31,,A9X844,A9X844_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
32,,A9X854,A9X854_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
33,,A9X868,A9X868_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),290,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
34,,Q400I7,Q400I7_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),147,,membrane [GO:0016020],membrane [GO:0016020]; arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,"TRANSMEM 74..95; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
35,,E7EWF9,E7EWF9_HUMAN,arylamine N-acetyltransferase (EC 2.3.1.5),NAT2,Homo sapiens (Human),160,,,arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,,,
36,,Q400I5,Q400I5_HUMAN,Arylamine N-acetyltransferase 2 (EC 2.3.1.5),NAT2,Homo sapiens (Human),46,,,arylamine N-acetyltransferase activity [GO:0004060],arylamine N-acetyltransferase activity [GO:0004060],,,,
0,"(gene:""CYP2A13"")",Q16696,CP2AD_HUMAN,Cytochrome P450 2A13 (EC 1.14.14.1) (CYPIIA13),CYP2A13,Homo sapiens (Human),494,aflatoxin metabolic process [GO:0046222]; coumarin metabolic process [GO:0009804]; epoxygenase P450 pathway [GO:0019373]; xenobiotic metabolic process [GO:0006805],cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231],"cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; arachidonic acid epoxygenase activity [GO:0008392]; aromatase activity [GO:0070330]; coumarin 7-hydroxylase activity [GO:0008389]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; aflatoxin metabolic process [GO:0046222]; coumarin metabolic process [GO:0009804]; epoxygenase P450 pathway [GO:0019373]; xenobiotic metabolic process [GO:0006805]","arachidonic acid epoxygenase activity [GO:0008392]; aromatase activity [GO:0070330]; coumarin 7-hydroxylase activity [GO:0008389]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]",,,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,
0,"(gene:""NDOR1"")",Q9UHB4,NDOR1_HUMAN,NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase) (Novel reductase 1),NDOR1 NR1,Homo sapiens (Human),597,electron transport chain [GO:0022900]; iron-sulfur cluster assembly [GO:0016226],cytoplasm [GO:0005737]; cytosol [GO:0005829]; intermediate filament cytoskeleton [GO:0045111]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471],"cytoplasm [GO:0005737]; cytosol [GO:0005829]; intermediate filament cytoskeleton [GO:0045111]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH binding [GO:0070402]; NADPH-hemoprotein reductase activity [GO:0003958]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor [GO:0016731]; oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor [GO:0016653]; electron transport chain [GO:0022900]; iron-sulfur cluster assembly [GO:0016226]","electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH binding [GO:0070402]; NADPH-hemoprotein reductase activity [GO:0003958]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor [GO:0016731]; oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor [GO:0016653]",,,"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000255|HAMAP-Rule:MF_03178, ECO:0000269|PubMed:10625700, ECO:0000269|PubMed:12871939}. Note=Concentrated in perinuclear structure. {ECO:0000255|HAMAP-Rule:MF_03178, ECO:0000269|PubMed:12871939}.",
0,"(gene:""CYP2A6"")",P11509,CP2A6_HUMAN,"Cytochrome P450 2A6 (EC 1.14.14.-) (1,4-cineole 2-exo-monooxygenase) (CYPIIA6) (Coumarin 7-hydroxylase) (Cytochrome P450 IIA3) (Cytochrome P450(I))",CYP2A6 CYP2A3,Homo sapiens (Human),494,coumarin catabolic process [GO:0046226]; coumarin metabolic process [GO:0009804]; epoxygenase P450 pathway [GO:0019373]; steroid metabolic process [GO:0008202]; xenobiotic catabolic process [GO:0042178]; xenobiotic metabolic process [GO:0006805],cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231],"cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; arachidonic acid epoxygenase activity [GO:0008392]; coumarin 7-hydroxylase activity [GO:0008389]; enzyme binding [GO:0019899]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; coumarin catabolic process [GO:0046226]; coumarin metabolic process [GO:0009804]; epoxygenase P450 pathway [GO:0019373]; steroid metabolic process [GO:0008202]; xenobiotic catabolic process [GO:0042178]; xenobiotic metabolic process [GO:0006805]","arachidonic acid epoxygenase activity [GO:0008392]; coumarin 7-hydroxylase activity [GO:0008389]; enzyme binding [GO:0019899]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]",,,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,
1,,M0R2Z4,M0R2Z4_HUMAN,Cytochrome P450 family 2 subfamily A member 6,CYP2A6,Homo sapiens (Human),65,,membrane [GO:0016020],"membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,"TRANSMEM 6..24; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
0,"(gene:""POR"")",P16435,NCPR_HUMAN,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),POR CYPOR,Homo sapiens (Human),677,cellular organofluorine metabolic process [GO:0090346]; electron transport chain [GO:0022900]; positive regulation of monooxygenase activity [GO:0032770]; response to hormone [GO:0009725]; xenobiotic metabolic process [GO:0006805],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958]; cellular organofluorine metabolic process [GO:0090346]; electron transport chain [GO:0022900]; positive regulation of monooxygenase activity [GO:0032770]; response to hormone [GO:0009725]; xenobiotic metabolic process [GO:0006805],flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],"TOPO_DOM 2..21; /note=""Lumenal""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03212""; TOPO_DOM 43..677; /note=""Cytoplasmic""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03212""","TRANSMEM 22..42; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03212""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03212}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03212}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_03212}.,
1,,A0A9L9PXL8,A0A9L9PXL8_HUMAN,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),POR,Homo sapiens (Human),605,,endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],,,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|HAMAP-Rule:MF_03212}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_03212}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_03212}.,
2,,A0A9L9PXN4,A0A9L9PXN4_HUMAN,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),POR,Homo sapiens (Human),647,,endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],,"TRANSMEM 25..46; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_03212""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|HAMAP-Rule:MF_03212}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_03212}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_03212}.,
3,,A0A9L9PY49,A0A9L9PY49_HUMAN,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),POR hCG_41365,Homo sapiens (Human),680,,endoplasmic reticulum membrane [GO:0005789],endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],,"TRANSMEM 25..46; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_03212""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|HAMAP-Rule:MF_03212}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_03212}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_03212}.,
4,,A8K3B4,A8K3B4_HUMAN,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),POR,Homo sapiens (Human),680,response to hormone [GO:0009725],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958]; response to hormone [GO:0009725],flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],,"TRANSMEM 25..46; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_03212""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|HAMAP-Rule:MF_03212}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_03212}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_03212}.,
5,,B2R6E5,B2R6E5_HUMAN,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),POR,Homo sapiens (Human),680,response to hormone [GO:0009725],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958]; response to hormone [GO:0009725],flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],,"TRANSMEM 25..46; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_03212""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|HAMAP-Rule:MF_03212}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_03212}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_03212}.,
6,,Q63HL4,Q63HL4_HUMAN,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),DKFZp686G04235 POR,Homo sapiens (Human),680,response to hormone [GO:0009725],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958]; response to hormone [GO:0009725],flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958],,"TRANSMEM 25..46; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_03212""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|HAMAP-Rule:MF_03212}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_03212}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_03212}.,
7,,A0A8V8NE24,A0A8V8NE24_HUMAN,NADPH--hemoprotein reductase (EC 1.6.2.4),POR,Homo sapiens (Human),630,,endoplasmic reticulum [GO:0005783]; membrane [GO:0016020],endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; FMN binding [GO:0010181]; NADPH-hemoprotein reductase activity [GO:0003958],FMN binding [GO:0010181]; NADPH-hemoprotein reductase activity [GO:0003958],,"TRANSMEM 20..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
8,,H0Y4R2,H0Y4R2_HUMAN,NADPH--hemoprotein reductase (EC 1.6.2.4),POR,Homo sapiens (Human),725,,endoplasmic reticulum [GO:0005783]; membrane [GO:0016020],endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; FMN binding [GO:0010181]; NADPH-hemoprotein reductase activity [GO:0003958],FMN binding [GO:0010181]; NADPH-hemoprotein reductase activity [GO:0003958],,,,
9,,A0A8V8NKH1,A0A8V8NKH1_HUMAN,Cytochrome p450 oxidoreductase,POR,Homo sapiens (Human),163,,membrane [GO:0016020],membrane [GO:0016020]; FMN binding [GO:0010181],FMN binding [GO:0010181],,"TRANSMEM 20..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
10,,A0A8V8NLF0,A0A8V8NLF0_HUMAN,Cytochrome p450 oxidoreductase,POR,Homo sapiens (Human),185,,membrane [GO:0016020],membrane [GO:0016020]; FMN binding [GO:0010181],FMN binding [GO:0010181],,"TRANSMEM 20..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
11,,A0A8V8NRY5,A0A8V8NRY5_HUMAN,Cytochrome p450 oxidoreductase,POR,Homo sapiens (Human),137,,membrane [GO:0016020],membrane [GO:0016020]; FMN binding [GO:0010181],FMN binding [GO:0010181],,"TRANSMEM 20..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
12,,A0A8V8NVX2,A0A8V8NVX2_HUMAN,Cytochrome p450 oxidoreductase,POR,Homo sapiens (Human),169,,membrane [GO:0016020],membrane [GO:0016020]; FMN binding [GO:0010181],FMN binding [GO:0010181],,"TRANSMEM 20..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
13,,A0A8V8NVY2,A0A8V8NVY2_HUMAN,Cytochrome p450 oxidoreductase,POR,Homo sapiens (Human),59,,membrane [GO:0016020],membrane [GO:0016020],,,"TRANSMEM 20..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
